2021-02-19 22:27:19,439 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=e133fe91-01b8-4cc7-a464-e79c4b7617bd
2021-02-19 22:27:21,668 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Watching for application state file in D:\PhotonBase\deploy\ServerState.txt
2021-02-19 22:27:21,698 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2021-02-19 22:27:21,699 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Initializing master server connection ...
2021-02-19 22:27:21,753 [1] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=e133fe91-01b8-4cc7-a464-e79c4b7617bd
2021-02-19 22:27:21,781 [1] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=Game; AppPath=D:\PhotonBase\deploy\LoadBalancing\GameServer, Type=Photon.LoadBalancing.GameServer.GameApplication 
2021-02-19 22:27:21,788 [1] INFO  Photon.SocketServer.Diagnostics.CounterPublisher - CounterPublisher started publishing ExitGames.Diagnostics.Monitoring.CounterSamplePublisher to ExitGames.Diagnostics.Monitoring.CounterSampleSender
2021-02-19 22:27:23,382 [10] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection established: address:127.0.0.1
2021-02-19 22:27:23,383 [10] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2021-02-19 22:27:23,388 [10] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Registering game server with address 127.0.0.1, TCP 4531, UDP 5056, WebSocket 9091, Secure WebSocket 19091, HTTP 80, ServerID e133fe91-01b8-4cc7-a464-e79c4b7617bd, Hostname localhost, IPv6Address 
2021-02-19 22:27:23,507 [12] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Successfully registered at master server: serverId=e133fe91-01b8-4cc7-a464-e79c4b7617bd
2021-02-19 22:28:04,396 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - OnStopRequested: serverid=e133fe91-01b8-4cc7-a464-e79c4b7617bd
2021-02-19 22:28:04,400 [1] INFO  Photon.SocketServer.ApplicationBase - Application is stopping: AppId=Game
2021-02-19 22:28:04,415 [19] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - connection to master closed (id=2, reason=ManagedDisconnect, detail=), serverId=e133fe91-01b8-4cc7-a464-e79c4b7617bd
2021-02-19 22:28:04,537 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - TearDown: serverId=e133fe91-01b8-4cc7-a464-e79c4b7617bd
2021-02-19 22:28:04,539 [1] INFO  Photon.SocketServer.ApplicationBase - Application stop: AppId=Game
2021-02-28 15:48:53,199 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=fb8ec595-695c-471d-a250-687d304e4501
2021-02-28 15:48:53,624 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - HTTP Queue performance counters successfully initialized
2021-02-28 15:48:53,626 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - Internal HTTP Queue performance counters successfully created
2021-02-28 15:48:53,644 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - TokenCreator intialized with an expiration of 02:46:40
2021-02-28 15:48:56,248 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Business Logic Queue
2021-02-28 15:48:56,249 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Queue
2021-02-28 15:48:56,249 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes in/sec
2021-02-28 15:48:56,253 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes out/sec
2021-02-28 15:48:56,255 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Processing
2021-02-28 15:48:56,255 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Active
2021-02-28 15:48:56,256 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: In (ms)
2021-02-28 15:48:56,256 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: Out (ms)
2021-02-28 15:48:56,256 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers +/sec
2021-02-28 15:48:56,257 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers (C) +/sec
2021-02-28 15:48:56,257 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Peers
2021-02-28 15:48:56,257 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers +/sec
2021-02-28 15:48:56,258 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers (C) +/sec
2021-02-28 15:48:56,258 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Peers
2021-02-28 15:48:56,270 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.FeedbackControlSystem - Could not initialize Feedback Control System from configuration: Invalid configuration file D:\battleRoyal\PhotonBase\deploy\Workload.config. Using default settings... (Файл 'D:\battleRoyal\PhotonBase\deploy\Workload.config' не найден.)
2021-02-28 15:48:56,280 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Watching for application state file in D:\battleRoyal\PhotonBase\deploy\ServerState.txt
2021-02-28 15:48:56,285 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2021-02-28 15:48:56,286 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Initializing master server connection ...
2021-02-28 15:48:56,468 [1] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=fb8ec595-695c-471d-a250-687d304e4501
2021-02-28 15:48:56,502 [1] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=Game; AppPath=D:\battleRoyal\PhotonBase\deploy\LoadBalancing\GameServer, Type=Photon.LoadBalancing.GameServer.GameApplication 
2021-02-28 15:48:56,515 [1] INFO  Photon.SocketServer.Diagnostics.CounterPublisher - CounterPublisher started publishing ExitGames.Diagnostics.Monitoring.CounterSamplePublisher to ExitGames.Diagnostics.Monitoring.CounterSampleSender
2021-02-28 15:48:58,326 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - OnStopRequested: serverid=fb8ec595-695c-471d-a250-687d304e4501
2021-02-28 15:48:58,330 [1] INFO  Photon.SocketServer.ApplicationBase - Application is stopping: AppId=Game
2021-02-28 15:48:58,340 [13] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - connection to master closed (id=2, reason=ManagedDisconnect, detail=), serverId=fb8ec595-695c-471d-a250-687d304e4501
2021-02-28 15:48:58,379 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - TearDown: serverId=fb8ec595-695c-471d-a250-687d304e4501
2021-02-28 15:48:58,381 [1] INFO  Photon.SocketServer.ApplicationBase - Application stop: AppId=Game
